historical_name,standard_name
Arsenal,Arsenal FC
Aston Villa,Aston Villa FC
Bournemouth,AFC Bournemouth
Brentford,Brentford FC
Brighton,Brighton & Hove Albion FC
Burnley,Burnley FC
Chelsea,Chelsea FC
Crystal Palace,Crystal Palace FC
Everton,Everton FC
Fulham,Fulham FC
Leeds,Leeds United FC
Liverpool,Liverpool FC
Man City,Manchester City FC
Man United,Manchester United FC
Newcastle,Newcastle United FC
Nott'm Forest,Nottingham Forest FC
Sunderland,Sunderland AFC
Tottenham,Tottenham Hotspur FC
West Ham,West Ham United FC
Wolves,Wolverhampton Wanderers FC